transliteration,translation
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša₂,
ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{DIŠ}da-a-u₂-iš-pe₃-na,
{DIŠ}mi-is₂-pa₂-za-na,
aš₂-pe₃-na,
{DIŠ}mi-iš-ta₂-as₂-pa₂,
{DIŠ}ša₂-ak,
ri,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
ak-ka₄,
hi,
{AŠ}ta₂-iz-za-ra-um,
hu-ut-taš-ta₂,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}mi-iš,
ta₂-as₂-pa₂,
{DIŠ}ša₂-ak-ri,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
har-da-is₂-ta₂-na,
{AŠ}mur.MEŠ-in-na,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{AŠ}ul-hi.MEŠ-e-ma,
hu-ut-tuk-ka₄,
{DIŠ}u₂,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša₂-ir,
ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{DIŠ}da-a-u₂-iš-pe₃-na,
{DIŠ}EŠŠANA,
{AŠ}mu,
ru-un,
hi,
uk-ku-ra-ir-ra,
{DIŠ}mi,
iš-ta₂-as₂-pa₂,
{DIŠ}ša₂-ak-ri,
{DIŠ}ha-ak,
ka₄-man-nu-ši-ia,
a-ak,
{DIŠ}da-ri-ia,
ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
{GIŠ}ka₄-at,
hi,
ma,
mu-ur,
{AŠ}hal-mar-raš₂,
hi,
ku-ši-ka₄,
ap-pu-ka₄,
hi-ma,
{AŠ}hal-mar-raš₂,
in-ni,
ku-ši-ik,
za-u-mi-in,
{d}u-ra-mas,
da-na,
hi,
{AŠ}hal-mar-raš₂,
{DIŠ}u₂,
ku-ši,
ia,
a-ak,
{d}u-ra-mas-da,
hi,
zi₂,
la,
tuk-mi-ni-na,
{d}na-ap,
mar-pe₃-ip,
ta₂,
i-ta₂-ka₄,
ap-pa,
hi,
{AŠ}hal-mar-raš₂,
ku-ši-ka₄,
a-ak,
{DIŠ}u₂,
ku-ši-ia,
ku-ut,
ta₂,
ku-ši-ia,
tar-ma,
a-ak,
ši-iš-ni,
ku-ut-ta₂,
šil-la-ak,
hi,
zi₂-la,
sa-ap,
{DIŠ}u₂,
tuk-man-na,
a-ak,
{DIŠ}da-ri-ia,
ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
{DIŠ}u₂,
{d}u-ra,
mas-da,
u₂-un,
nu-iš-ki₂-iš-ni,
{d}na-ap,
mar-pe₃-ip-ta₂,
i-ta₂-ka₄,
a-ak,
ku-ut-ta₂,
{AŠ}hal,
mar-raš₂,
hi,
ku-ut-ta₂,
ša₂-rak,
{GIŠ}ka₄-at,
hi,
ik-ka₄,
kap₀-pa-ka₄,
hu-pe₃,
a-nu,
kin-ni-en,
ap-pa,
{DIŠ}LU₂.,
MEŠ-ir-ra,
ha-ri-ik-ka₄,
el-ma-man-ra,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša₂-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-na,
{DIŠ}EŠŠANA,
{DIŠ}da,
a-u₂-iš-pe₃-na,
{DIŠ}mi-iš-ta₂-as₂-pa₂,
{DIŠ}ša₂-ak-ri,
{DIŠ}ha-ka₄-man-nu-iš-ši,
ia,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
{DIŠ}EŠŠANA-um-me,
ap-pa,
{DIŠ}u₂,
mar-ri-ra,
{DIŠ}sa₁₅-ak-ka₄-pe₃,
ik-ki-mar,
{DIŠ}ak-ka₄-pe₃,
{AŠ}šu-ig-da,
mi-ut-tu₃,
ma,
ku-iš,
{AŠ}ku-ša₂-a-ia,
{AŠ}hi-in-du-iš-mar,
ku-iš,
{AŠ}is₂-par₂-da,
ap-pa,
{d}u-ra-mas-da,
{DIŠ}u₂,
du-nu-iš-ta₂,
ak-ka₄,
ir-ša₂-ra,
{d}na-ap-pan-na,
{DIŠ}u₂,
{d}u-ra-mas-da,
un,
nu-iš-ki₂-iš-ni,
ku-ut-ta₂,
{AŠ}ul-hi.MEŠ-mi,
{AŠ}li-ki₂,
{AŠ}ik-nu-maš-na,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{AŠ}ul-hi.MEŠ-e-ma,
hu-ut-tuk,
{DIŠ}u₂,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
x,
x,
m,
ha-ak-ka₄-man-nu-ši-ia,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
x,
x,
hu-ut-ta₂-man-ra,
a-ak,
x,
x,
ap-pa,
mar-ri-ta₂,
ši-iš-ni-na,
hu-ut-ta₂-ra,
hu-pe₂,
in-ni,
u₂-ri-in-ra,
x,
mar-ri,
ha,
ma-ra-ka₄,
x,
II,
kur-ša-um,
{DIŠ}u₂,
{DIŠ}da-ri,
ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša-ir-ra,
{DIŠ}mi,
iš-da-aš-ba,
ša-ak,
ri,
{DIŠ}ha-ka₄-man,
nu-ši-ia,
{d}na-ap,
ir-ša₂-ir-ra,
{d}u-ra-mas-da,
ak-ka₄,
{AŠ}mu-ru-un,
hi,
pe₃-iš-ta₂,
ak-ka₄,
{d}ki-ik,
hu-ip-pe₃,
pe₃-iš-ta₂,
ak-ka₄,
{DIŠ}LU₂.MEŠ-ir-ra,
ir,
pe₃-iš-ta₂,
ak-ka₄,
ši-ia-ti-iš,
pe₃-iš-ta₂,
{DIŠ}LU₂.MEŠ-ra-na,
ak-ka₄,
{DIŠ}ik-še-ir-iš-ša₂,
{DIŠ}EŠŠANA,
ir,
hu-ut-taš,
ta₂,
ki-ir,
ir-še-ki-ip-in-na,
{DIŠ}EŠŠANA,
ki-ir,
ir-še-ki-ip,
in-na,
pir₂-ra-ma-ut-ta₂-ra-na-um,
{DIŠ}u₂,
{DIŠ}ik-še-ir-iš-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
da-a-hu-na,
um,
par₂-ru-za-na-na-um,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
az-za,
ka₄,
pir₂-ša₂-ti-ni-ka₄,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂-ak,
ri,
{DIŠ}ha-ka₄-man-nu-iš-ši-ia,
na-an-ri,
{DIŠ}ik-še-ir-iš-ša₂,
{DIŠ}EŠŠANA,
za-u-mi-in,
{d}u-ra-mas-da-na,
hi,
{AŠ}e-el,
mi-is₂-sa₁₅,
da-a-hu-iš,
{DIŠ}u₂,
hu-ut-ta₂,
ir-še-ki,
ta₂-a-e-te,
ši-iš,
ni-na,
hu-ut-tuk,
{AŠ}pa-ir-sa₁₅,
hi-ma,
ap-pa,
{DIŠ}u₂,
hu-ut-ta₂,
ra,
ku-ut-ta₂,
ap-pa,
{DIŠ}at-ta₂-ta₂,
hu-ut-taš-ta₂,
ap-pa,
ša₂-rak₀,
hu-ut-tuk-ka₄,
zi₂-ia-ma-ak,
ši-iš-ni-na,
hu-pe₃,
mar-ri-ta₂,
za-u-mi-in,
{d}u-ra-mas-da-na,
hu-ut-tu₃-ut-ta₂,
na-an,
ri,
{DIŠ}ik-še-ir-iš-ša₂,
{DIŠ}EŠŠANA,
{DIŠ}u₂,
{d}u-ra-mas-da,
un,
nu-iš-ki₂-iš-ni,
ku-ut-ta₂,
{AŠ}su-un-ku-mu-mi,
ku-ut-ta₂,
ap-pa,
{DIŠ}u₂,
hu-ut-ta₂-ra,
ku-ut-ta₂,
ap-pa,
{DIŠ}at-ta₂-ta₂,
hu-ut-taš-ta₂,
hu-pe₃-ta₂,
{d}u-ra-mas-da,
nu-iš-ki₂-iš-ni,
{d}na-ap-pi,
ir-ša₂-ir-ra,
{d}u-ra-mas-da,
ak-ka₄,
{AŠ}mu-ru-un,
hi,
pe₃-iš-ta₂,
ak-ka₄,
{d}ki-ik,
hu-pe₃,
pe₃-iš-ta₂,
ak-ka₄,
{DIŠ}LU₂.MEŠ-ir-ra,
ir,
pe₃-iš-ta₂,
ak,
ka₄,
ši-ia-ti-iš,
pe₃-iš-ta₂,
{DIŠ}LU₂.MEŠ-ir-ra-na,
ak,
ka₄,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir,
hu-ut-taš-ta₂,
ki-ir,
ir-še-ik-ki-ip-in-na,
{DIŠ}EŠŠANA,
ki-ir,
ir-še-ik-ki,
ip-in-na,
pir₂-ra-ma-ta₂-ra-um,
{DIŠ}u₂,
{DIŠ}ik-še-ir,
ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{AŠ}da-a-u₂-iš-pe₃-na,
par-ru-za-na-na-um,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
az-za-ka₄,
pir₂-ša₂-at-ti,
ni-ka₄,
ha-te,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂,
ak,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
na-an-ri,
{DIŠ}ik-še,
ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
ap-pa,
{DIŠ}u₂,
hu-ut-ta₂,
ra,
{AŠ}ma-at-ta₂,
ku-ut-ta₂,
ap-pa,
{AŠ}me-ša₂-me-ra,
ka₄-ta₂,
hu-ut-ta₂-ra,
hu-pe₃,
mar-ri-ta₂,
za-u-mi-in,
{d}u-ra-mas-da-na,
hu-ut-ta₂,
{DIŠ}u₂,
{d}u-ra-mas-da,
un,
nu-iš-ki₂-iš-ni,
{d}na-ap-pi-pe₃,
hi-ta₂-ka₄,
ku-ut,
ta₂,
{AŠ}su-un-mu-me,
ku-ut-ta₂,
ap-pa,
hu-ut-ta₂-ra,
{d}na-ap,
ir-ša₂-ir-ra,
{d}u-ra-mas-da,
ak-ka₄,
hi,
{AŠ}mu-ru-un,
pe₃-iš,
ta₂,
ak-ka₄,
{d}ki-ik,
hu-pe₃,
pe₃-iš-ta₂,
ak-ka₄,
{DIŠ}LU₂.MEŠ-ir-ra,
ir,
pe₃-iš,
ta₂,
ak-ka₄,
ši-ia-ti-um,
pe₃-iš-ta₂,
{DIŠ}LU₂.MEŠ-ir-ra-na,
ak-ka₄,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir,
hu-ut-taš-ta₂,
{DIŠ}ki-ir,
{DIŠ}ir-še-ik-ki-ip-in-na,
{DIŠ}EŠŠANA,
{DIŠ}ki-ir,
{DIŠ}ir,
še-ik-ki-ip-in-na,
pir₂-ra-ma-ta₂-ra-um,
{DIŠ}u₂,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂,
ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{AŠ}da-a-hu-iš-pe₃-na,
{DIŠ}ir-še-ik-ki-ip-in,
na,
{DIŠ}da-na-iš-pe₃-na,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
{DIŠ}ir-ša₂-ir-ra,
{AŠ}pir₂-ša₂,
ut-ti-ni-ka₄,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂-ak-ri,
{DIŠ}ha-ak-ka₄-man-nu-ši,
ia,
na-an-ri,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
za-u-mi-in,
{d}u-ra,
mas-da-na,
hi,
{AŠ}ul-hi.MEŠ,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
hu-ut-taš,
{DIŠ}ak,
ka₄,
{DIŠ}u₂,
{DIŠ}at-ta₂-ta₂,
{DIŠ}u₂,
{d}u-ra-mas-da,
{DIŠ}u₂-un,
nu-iš-ki₂-iš-ni,
{d}na-ap-pi-pe₃,
i-ta₂-ka₄,
ku-ut-ta₂,
ap-pa,
hu-ut-ta₂-ra,
ku-ut-ta₂,
ap-pa,
{DIŠ}at-ta₂-ta₂,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
hu-ut-taš-ta₂,
hu-pe₃,
te,
{d}u-ra-mas-da,
nu-iš-ki₂-iš-ni,
{d}na-ap-pi-pe₃,
i-ta₂-ka₄,
{d}na-ap-pi,
ir-ša₂-ir-ra,
{d}u-ra-mas-da,
ak-ka₄,
{AŠ}mu-ru-un,
hi,
pe₃-iš-ta₂,
ak-ka₄,
{d}ki-ik,
hu-pe₃,
pe₃-iš-ta₂,
ak-ka₄,
{DIŠ}LU₂.MEŠ-ir-ra,
ir,
pe₃-iš-ta₂,
ak-ka₄,
ši-ia-ti-iš,
pe₃-iš-ta₂,
{DIŠ}LU₂.MEŠ-ir-ra-na,
ak-ka₄,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir,
hu-ut-taš-ta₂,
ki-ir,
ir-še-ik-ki-ip-in,
na,
{DIŠ}EŠŠANA,
ki-ir,
ir-še-ik-ki-ip-in-na,
pir₂-ra-ma-ta₂-ra-um,
{DIŠ}u₂,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{AŠ}da,
a-u₂-iš-pe₃-na,
par₂-ru-za-na-na-um,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
az-za-ka₄,
pir₂-ša₂-at-ti-ni-ka₄,
ha-te,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ša₂-ak-ri,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
na-an-ri,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂,
ir-ra,
za-u-mi-in,
{d}u-ra-mas-da-na,
hi,
{AŠ}ul-hi.MEŠ,
{DIŠ}u₂,
hu,
ut-ta₂,
{DIŠ}u₂,
{d}u-ra-mas-da,
un,
nu-iš-ki₂-iš-ni,
{d}na-ap-pi-pe₃,
i-ta₂-ka₄,
ku-ut-ta₂,
{AŠ}su-un-mu-me,
ku-ut-ta₂,
ap-pa,
hu-ut-ta₂-ra,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir,
ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}da,
ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂-ak,
ri,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
{d}na-ap-pi,
ir-ša₂-ir-ra,
{d}u-ra-mas-da,
ak-ka₄,
{AŠ}mu-ru-un,
hi,
pe₃-iš-ta₂,
ak-ka₄,
{d}ki-ik,
hu-pe₃,
pe₃-iš-ta₂,
ak-ka₄,
{DIŠ}LU₂.MEŠ-ir-ra,
ir,
pe₃-iš-ta₂,
ak-ka₄,
ši-ia-ti-iš,
pe₃-iš-ta₂,
{DIŠ}LU₂.MEŠ-ir-ra-na,
ak,
ka₄,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir,
hu-ut-taš-ta₂,
ki-ir,
ir-še-ik-ki-ip,
in-na,
{DIŠ}EŠŠANA,
ki-ir,
ir-še-ik-ki-ip-in-na,
pir₂-ra-ma-ta₂-ra-um,
{DIŠ}u₂,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{AŠ}da-a-u₂-iš-pe₃-na,
par₂-ru-za-na-na-um,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
az-za-ka₄,
pir₂-ša₂-at-ti-ni-ka₄,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂-ak,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
{DIŠ}par₂-sir-ra,
{DIŠ}par₂-sir-ra,
{DIŠ}ša₂-ak-ri,
{DIŠ}har-ri-ia,
{DIŠ}har-ri-ia,
zi₂-iš-ša₂,
na-an-ri,
{DIŠ}ik,
še-ir-ša₂,
{DIŠ}EŠŠANA,
za-u-mi-in,
{d}u-ra-mas-da-na,
hi,
{AŠ}da-a-ia,
ma,
ak-ka₄-pe₃-na,
{DIŠ}u₂,
{DIŠ}EŠŠANA,
ap-pi-ni-ki₂-ut,
me-ša₂-me-ra-ka₄,
ha,
iz-za,
{AŠ}pa₂-ir-sa₁₅,
{DIŠ}ki₂-ul-u₂-ip,
{DIŠ}u₂-ni-ni,
ba-zi₂-iš,
tin-ki₂,
iš,
ak-ka₄-pe₃-na,
{DIŠ}u₂-ik-ki-mar,
ap,
ti-ri-ka₄,
hu-pe₃,
hu-ut-taš,
da,
at-ta₂-um,
ap-pa,
{DIŠ}u₂-ni-ni,
hu-pe₃-te,
mar-ri-iš,
{AŠ}ma-da,
{AŠ}hal-tam₆-tup,
{AŠ}har-ku-ti-iš,
{AŠ}har-mi-nu,
{AŠ}iz-ra-an-ka₄,
{AŠ}par₂,
tu-ma,
{AŠ}har-ri-ma,
{AŠ}ba-ak-ši,
{AŠ}šu-ig-da,
{AŠ}ma-ra-iz-ma,
{AŠ}ba-bi₃-li,
{AŠ}aš₂-šu-ra,
{AŠ}sa-da-ku,
{AŠ}is₂-par₂-da,
{AŠ}mu-iz,
ri-ia,
{AŠ}ia-u-na,
ak-ka₄-pe₃,
AN.KAM.MEŠ-ma,
mar-ri-iš,
ku-ut-ta₂,
ak-ka₄-pe₃,
AN.KAM.MEŠ,
la-ak-ka₄,
mar-ri-iš-ta₂,
{AŠ}ma-zi₂-ia,
{AŠ}har,
ba-ia,
{AŠ}kan₂-da-ra,
{AŠ}hi-in-du-iš,
{AŠ}ka₄-ut-pa₂-tu₃-ka₄,
{AŠ}da,
ha,
{AŠ}sa₁₅-ak-ka₄,
u-mar-ka₄,
{AŠ}sa₁₅-ak-ka₄,
ti-ig-ra-ka₄-u-da,
{AŠ}is₂-ku-ud-ra,
{AŠ}ha-ku-pi-zi₂-ia,
{AŠ}pu-ut-ta₂-ia,
{AŠ}kur-ka₄,
{AŠ}ku-ši-ia,
na-an-ri,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
sa-ap,
ap-pa,
{DIŠ}u₂,
{DIŠ}EŠŠANA,
hu-ut-tu₃-ki₂-ut,
ŠA₃-ri,
hi,
ŠA₃-ma,
{AŠ}da-a-ia-ma,
ap-pa,
te-ip-pa₂,
tal-li-ka₄,
ha-a-ia-u-da,
pa₂-iš-ša₂-ma-me,
{d}u-ra-mas,
da,
pi-ik-ti,
{DIŠ}u₂,
ta₂-iš,
za-u-mi-in,
{d}u-ra-mas-da-na,
hu-pe₃,
{AŠ}da-a-ia-ma,
{DIŠ}u₂,
ka₄-za,
ku-ut-ta₂,
ka₄-te-ma,
ap-pi-in,
mur-ta₂,
ku-ut-ta₂,
hi,
ŠA₃-ma,
{AŠ}da-a-ia-ma,
ŠA₃-ri,
mu-ur,
ap-pu-ka₄,
da-a,
ma,
ši-ip-pe₃,
hu-ut-ta₂-iš-ta₂,
me-ni,
za-u-mi-in,
{d}u-ra-mas-da,
na,
{DIŠ}u₂,
hu-pe₃,
da-a-ma-da-na-um,
sa-ri,
ku-ut-ta₂,
ki-te-in-uk,
ku,
ap,
pi-ta₂,
da-a-ma,
ši-ip-pe₃,
a-nu,
hu-ut-ta₂-an,
mu-ur,
ap-pu,
ka₄,
da-a-ma,
ši-ip-pe₃,
hu-ut-tuk-ka₄,
hu-pe₃-ma,
{DIŠ}u₂,
{d}u-ra-mas,
da,
ši-ip-pe₃,
hu-ut-ta₂,
ir-ta₂-ha-zi₂,
pir₂-ra-iz-man-nu-ia,
ku-ut-ta₂,
ta₂-a-ki-ta₂,
ŠA₃-ri,
ap-pa,
mi-iš-nu-ka₄,
hu-ut-tuk-ka₄,
hu-pe₃,
{DIŠ}u₂,
ši-iš-ni-na,
hu-ut-ta₂,
hi,
ap-pa,
{DIŠ}u₂,
hu-ut-ta₂-ra,
mar-ri,
ta₂,
za-u-mi-in,
{d}u-ra-mas-da-na,
hu-ut-ta₂,
{d}u-ra-mas-da,
pi-ik-ti,
{DIŠ}u₂,
ta₂-iš,
ku-iš,
hu-ut-tuk-ka₄,
hu-ut-ra,
{DIŠ}nu,
ak,
ka₄-ia,
maš-ša₂,
an-ka₄,
el-man-ta₂,
ša₂-ta₂-ha-nu,
ka₄-tuk-ta₂,
ku-ut-ta₂,
hal-pe₃-in-ta₂,
ir-ta₂-ma,
ni-in-ta₂,
hu-pe₃,
da-at-ta₂-ma,
iz-zi₂-iš,
ap,
pa,
{d}u-ra-mas-da,
še-ra-iš-ta₂,
{d}u-ra-mas-da,
ši-ip-pe₃,
hu,
ut-taš,
ir-ta₂-ha-zi₂,
pir₂-ra-iz-man-nu-ia,
{DIŠ}LU₂.MEŠ-ir-ra,
sa-ap,
hu-pe₃-ma,
da-at-ta₂-ma,
iz-zi₂-ma-ak,
ap-pa,
{d}u-ra-mas-da,
še,
ra-iš-ta₂,
ku-ut-ta₂,
{d}u-ra-mas-da,
ši-ip-pe₃,
hu-ut-ta₂-man-ra,
ir-ta₂-ha-zi₂,
pir₂-ra-iz-man-nu-ia,
hu-pe₃,
ku-ut-ta₂,
ka₄-tuk-ra,
ša₂,
ut-ta₂,
ni-ma-ak,
ku-ut-ta₂,
hal-pi-ik-ra,
ir-ta₂-ma,
ni-ma-ak,
na,
an-ri,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
{DIŠ}u₂,
{d}u-ra-mas-da,
un,
nu-iš,
ki₂-iš-ni,
ap-pa,
mi-iš-nu-ka₄,
ik-ki-mar,
ku-ut-ta₂,
{AŠ}ul-hi.MEŠ,
ku-ut-ta₂,
hi,
{AŠ}da-a-ia-u₂-iš,
hu-pe₃,
{DIŠ}u₂,
{d}u-ra-mas-da,
in,
su-ta₂-ma-an,
hu-pe₃-ta₂,
{d}u-ra-mas-da,
hu,
du-nu-iš-ni,
{AŠ}li-ki₂,
{AŠ}ik-nu-maš-na,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
{AŠ}ul-hi.MEŠ-e-ma,
hu-ut-tuk,
{DIŠ}u₂,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
ir-ša₂-ir-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-ip-in-na,
{DIŠ}EŠŠANA,
{DIŠ}da-a-u₂-iš-pe₃-na,
{DIŠ}EŠŠANA,
{AŠ}mu-ru-un,
hi,
uk-ku,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}ša₂-ak-ri,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
na-an-ri,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}EŠŠANA,
hi,
{AŠ}ta₂-iz-za-ra,
{DIŠ}u₂,
hu-ut-ta₂,
{DIŠ}ik-še-ir-ša₂,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ša₂-ak-ri,
