ISO_Code,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,S_SOV,S_SVO,S_VSO,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_CASE_SUFFIX,S_ADJECTIVE_BEFORE_NOUN
nld,0.6552806820087557,-2.532783035538848,-3.9794924690317854,-0.20556062446176862,-1.6585494761617885,-0.73479624842009,6.712232632801384,0.8278437077167937,-2.189233510246784,-3.874278940256899,-1.3147565219931723,1.9942978108831246,-2.915238204938014,-5.73873128630476,-3.9742686051416047,10.054293435623894,1.8624708630368882,-4.397436603163684,14.736841697549497,-0.3038498198677659,1.0,1.0,0.0,1.0,0.0,0.0,1.0
nob,2.9133282435306738,-1.5538254329384276,0.5531344778188121,-2.386255547924945,0.07389077185884976,2.644248551961156,4.968670596076051,0.9892597111313892,-3.2023018242689534,1.4517246838941882,2.988395670186988,1.6483478029849785,-8.117128874105966,1.4333208370776371,-0.2371939086044882,5.543096775676892,1.832901902718447,6.6823482528277,-3.5744810974404784,2.7970478351102415,0.0,1.0,0.0,1.0,0.0,1.0,1.0
pol,0.2632961247787585,-2.766721546466194,-3.731064878807105,1.333832965138093,3.47882468745787,-3.297804816548625,2.7878155934608984,-3.6558980009578153,-1.5979964564709284,9.57402968107742,1.415816618664538,-8.84808254788117,-6.072098617942082,-10.610803773810614,-4.740618232068622,-10.668291187998657,4.816112699480069,-3.9845629951807795,0.30647003911035603,-1.2705107971061937,0.0,1.0,0.0,1.0,0.0,1.0,1.0
por,3.0187571800829627,-3.064881076189563,-0.8360102984868772,1.1512613126003763,-3.516427248652663,-2.654391352432662,0.9525957237607332,-0.2905870911716866,4.448712138151304,0.6525886189737933,13.444778612947761,9.96989607239723,3.0281494263122006,5.964979403119215,-10.244902727994365,-2.17451490620841,0.8941982083534992,-3.2636241787235543,-3.486960176306757,-1.572342780130928,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ron,-3.8433376533285615,2.0212860234000116,-10.982176376243682,10.394394391236862,21.33940363399798,7.080438139789332,-10.444299324537182,0.2990884751700083,-3.241674208661854,6.45006944614846,6.218666235274571,-2.09765683198296,0.6575169127673078,7.452477862453835,4.8473525300124045,2.029824697674537,-1.4595554497908794,-3.033852149122328,3.8347802372887605,1.1413060492372271,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rus,1.5910091883970676,-2.92943440933662,-2.3852071938175112,1.0417259153821827,-3.6075313099051725,-0.14944220612429898,2.0199659689986214,1.1950835697416868,0.33123684247747065,1.867597075528782,-2.6828804406589395,0.005708111097585701,1.7995361667048533,1.855246565352056,0.2694397475554002,-2.259335417727177,-0.052064821593690046,0.4628264298873343,-0.3583556470496635,-3.174531004144351,0.0,1.0,0.0,1.0,0.0,1.0,1.0
slv,2.2179629638282874,-5.666190910695748,4.885143063788548,0.23221953298435552,0.4782935649062544,-10.914302339609712,-3.6417872881096387,-21.05716403934346,-15.888374340515844,-3.879369616909279,-3.507797167421156,-2.5422132004342117,4.538704261807585,4.568673590842951,-3.0278642282310924,1.7026121809420323,-2.6331095294972036,1.431022689651814,-0.2786886150409894,-0.1223038110490902,0.0,1.0,0.0,1.0,0.0,1.0,1.0
spa,2.0313382232619066,0.9162748545821658,-1.9806934730830699,-0.3386192656403479,-0.8246043013652916,-2.2077581094942427,5.028669048917529,-0.34710413457626393,-1.042369264678289,-1.3878092535866207,9.725638786478036,2.3902634367567184,2.8281429243049483,-1.3695056490716913,-5.063541541555685,-1.6454243444011964,3.8690578298995955,-0.18523793256256177,-0.19523653523763976,0.5657346891257335,0.0,1.0,0.0,1.0,0.0,0.0,0.0
swe,0.6110401243077919,-1.836802841115999,-3.19388446813908,0.30548240203304894,1.1147775555059143,0.008371916809235035,5.225334568304498,1.7816581504666056,-1.6643630010605281,5.209831097658319,-1.0718318349806717,0.6179389186845594,-5.67889228484239,3.1698837435040335,0.8496727288587961,5.22046905246912,1.4711135591296745,4.90428701751311,-3.165490541483577,1.992500357729746,0.0,1.0,0.0,1.0,0.0,0.0,1.0
tam,1.3833323701345697,-2.681777404634085,3.93247387586192,-1.2361720396412221,-11.76882488352717,8.856951380485695,-22.11170247552175,-3.783162528249849,-1.8903708187240247,-0.46508860691082904,4.479383538712708,5.72242476691134,-5.192305615524814,-7.975917141320352,5.116712356090464,2.3175876829998705,3.4631123371030923,0.8349638051979437,-0.46151701418098523,0.23938863724509682,1.0,0.0,0.0,0.0,1.0,1.0,1.0
tur,-24.932599215828443,13.320966011271837,7.596160326560836,-4.307099641595122,-6.54992810683305,7.219148399452148,-1.304631995000288,0.47327597988330844,0.15635505803535332,9.732995609096452,-0.5896474490778323,-5.718431528486262,10.590191916482429,-0.09115907774996028,-6.244248373919034,6.780579323213018,2.6923057057263504,-0.21655970862822588,-1.4416482858100195,2.231530180811682,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ukr,-1.2284274117968548,-4.355913064373981,-2.118918248973196,-4.287837490851946,2.9902298194770114,-1.4921594117436197,2.955227334523939,1.0337538819133507,0.6886408451991759,4.1175720308752695,-3.077121821550931,-6.381034461882918,1.6763926550013655,-1.7481013944487427,2.9809162940001044,-3.815145281046459,4.056302835730391,1.2867512567885377,0.12422684014035314,4.273427087610861,0.0,1.0,0.0,1.0,0.0,1.0,1.0
